Label_Value,Code
Geocalycaceae,940330
Dual record systems,899217
Plants--Effect of herbicides on,1065944
Pentachlorophenol--Physiological effect,1057144
Greek American literature,947103
Tamil language,1142467
Television broadcasting--Religious aspects,1146758
Building stones,840848
Cleaning--Equipment and supplies,863897
Classical drama,863469
Classical literature,863509
"Physiology, Comparative",1063206
Winter resorts,1176078
Shock absorbers,1116716
New Jerusalem Church,1036745
Abandoned mines,794189
Fairchild aircraft,919866
Gunships (Military aircraft),949435
Balinese (Indonesian people),825781
Health planning,953159
Ambulance service,806788
Transport of sick and wounded,1154957
Typhoons,1160055
Navigation (Astronautics),1035149
Wind tunnel walls,1175709
Boundary layer,837095
Leptoclinus,996376
Snow removal,1121968
Street cleaning,1134673
Lithotripsy equipment industry,1000330
Saraswats,1105457
"Printing, Legislative",1076790
"Printing, Public",1076794
Nanticoke Indians,1032644
Percopsis,1057694
Loss (Psychology),1002621
Bereavement,830665
Drawing--Awards,897727
Shoulder joint--Surgery,1117726
Civilization--Chinese influences,862903
Schwinn bicycles,1108154
Geophysicists,941000
Library rules and regulations,997903
Medical physics,1014499
Medicine--Study and teaching--Simulation methods,1015128
Chromobacterium,860040
Rhizobiaceae,1097113
Bronze age,839439
Beaker cultures,829180
Home schooling,959374
Fire--Religious aspects--Christianity,925189
Leatherwork,995168
Communication in art,870103
Commercial leases,869538
Tatar language--Writing,1765426
Pharmaceutical biotechnology,1060106
River steamers,1098304
Foot--Tumors,931332
Antimatter,810566
Smugglers,1121772
Footwear,931469
Pyrenophora,1084608
Coelorhynchus,866275
Trichloroethylene--Physiological effect,1156557
Plants--Effect of ethylene on,1065921
Electronic data processing--Study and teaching,907060
Marsileales,1010790
Travel trailers,1155676
Japanese prose literature,981931
Equine encephalomyelitis,914560
Epidemic encephalitis,914075
Water--Purification--Filtration,1171413
"Porcelain, French",1071759
Habitat conservation,950055
"Architecture, Romanesque",813938
Cooking (Fungi),1753118
Apache Indians--Rites and ceremonies,811075
Astronomical photography--Equipment and supplies,819657
Information visualization,973185
Setters (Dogs),1113610
Political messianism,1732352
Chimpanzees,857088
Vegetable gardening,1164731
Fantasy in children,920848
Cheese products,852761
Flexure,927277
Canned foods industry,845776
Container industry,876519
Social science literature,1122867
Macrhybopsis,1005190
Cyanidium,885733
Pottery craft,1073616
American poetry--African American authors,807349
Tephrosia,1147778
Chalices,851871
Christian antiquities,858898
Church plate,860876
Mercury automobile,1017115
Church year,861146
Colluvium,868351
Medical writing,1014798
Pressed glass,1075923
Analytic functions,808336
Bits (Drilling and boring),833468
Love,1002769
Epiphany,914259
Motorcyclists,1028138
Slicing machines (Cooking),1754528
Log-linear models--Computer programs,1001919
Contingency tables--Computer programs,876695
Biscuit ware,833323
Textile chemical industry,1148595
Computer animation,872015
Digitalis (Drug),893751
Cardenolides,847038
Riemann integral,1097800
Definite integrals,889751
Coraciiformes,878822
Dance for women,1737670
Slavery (Roman law),1120506
Obstetrical emergencies,1042979
Polymethylbenzenes,1070665
Sticklebacks,1133352
Gasterosteiformes,938802
Women economists,1177600
Mytilus,1031934
Arid regions agriculture,814397
Crop zones,883950
Desert reclamation,891181
Burkinabe literature,841808
Fast attack craft,921661
Furnarius,936486
Teratogenic agents,1147799
Piperidine,1064705
Phthalic acid,1062245
Leprostatic agents,996324
Syndromes in adolescents,1895570
Chronic diseases in adolescence,860094
Stems (Botany),1132986
Venerupis,1165190
Hermeneutics,955492
Osteosarcoma,1048835
Bones--Cancer,836000
Cuban American literature (Spanish),884769
Sphaeropsidales,1129627
Cattle--Handling,849583
Indians of North America--Health and hygiene,969766
Farm buildings,920970
Islamic art and symbolism,979909
Symbolism in art,1140771
Dugesiidae,899385
Billboards,831786
Togolese fiction (French),1895662
Pathogenic bacteria,1054930
Church vestments,860965
Clothing and dress--Religious aspects--Christianity,864714
Primates--Diseases,1076382
Galleys,937247
Neuroses,1036527
Antimalarials,810562
Freshwater phytoplankton,935076
DNA viruses,886609
Bulgarian fiction,841245
Indian art,969029
Physical geographers,1062646
Harpists,951648
Self-report inventories,1111923
"Depression, Mental--Diagnosis",890938
Toxigenic fungi,1153398
Pathogenic fungi,1054932
Tarsius,1143437
Taoist gods,1754622
Quechua language,1085584
Holy water,959045
Roller skaters,1099677
Echimyidae,901316
Animals with disabilities,1892726
Locally convex spaces,1001674
Cosmetics,880500
Indian python,969185
Bioactive compounds,831933
Central planning,850771
Taurine,1143572
Idiacanthus,966933
Guanosine triphosphatase genes,948751
Oncogenes,1045729
Corytophanidae,880495
Roller skating,1099681
Harvest festivals,951758
Chimaphila,1938921
Braya,838076
Slag,1120319
Sa-skya-pa lamas,1102914
Commercial crimes,869469
Devotional medals,892048
Probate courts,1077760
Trading with the enemy,1153949
Globodera,943569
Pucciniaceae,1083542
Extinct cities,918959
Sportswriters,1130798
Women journalists,1178072
Convertible lanes and roads,1744668
Jewish philanthropists,1764867
Women philanthropists,1178284
Mine accidents,1022012
Cormohipparion,1746270
"Horses, Fossil",960724
Uloboridae,1160636
Pornography,1071875
Italian wit and humor,980744
Mitsubishi trucks,1024056
Presbyterian Church,1075515
Christianity and other religions,859685
Penal colonies,1056803
Courtship,881873
Photographic surveying,1061677
Pesticides--Physiological effect,1059071
"Security, International",1110895
Synagogue music,1141023
Aluminum--Electrometallurgy,806273
Gymnastics for women,949621
Islam--Government,979802
Hardwoods--Labeling,951417
Contaminated sediments,876596
Moquelumnan Indians,1026034
"Law, Bantu",994179
Grampus (Mammals),1737263
Dacelo,886654
Odor control,1043910
Armies--Commissariat,814803
Seminarians,1112284
Cotton textile industry,881056
Tobacco--Storage,1151863
Analogy (Religion),808319
Daubentonia,888131
Daubentoniidae,888132
Chlorohydrocarbons,858188
Description (Rhetoric),891119
Flat glass,927057
Towhees,1153291
Abkhaz literature,794435
Indians of Mexico--Languages,969574
Heart--Ventricles,953697
Aristolochia,814475
Ghostwriters,942442
Mason bees,1011139
Blindness,834438
"Choruses, Sacred (Men's voices) with piano",858703
Psychodidae,1081309
Eskimo literature,915229
Tetum poetry,2003961
Fouling,933249
Heterosigma,1769718
Chattonellaceae,1768781
Medical museums,1014375
Transfer RNA,1154599
Smuggling,1121775
Small business investment companies,1121385
Jews--Languages,983295
Ladino language,990678
Lisu literature,999848
Computers and people with disabilities,872893
Self-help devices for people with disabilities,1111735
Coffee--Diseases and pests,866308
Trisodium nitrilotriacetate--Physiological effect,1157186
Helmets,954775
Centropristis,850857
Dolichopodidae,896406
Aeronautics in forest fire control,798429
Korean prose literature,988898
Sami language--Etymology,1104600
"Gods, Punic",944296
Financial executives,924624
Cooking (Game),1753119
Angika literature,808805
Panjabi wit and humor,1052175
Medical virology,1014785
"Law, Kgatla",994235
Radiation chemistry--Technique,1086920
Earthquake engineering,900825
Engineering geology,910529
School environment,1107379
Pork industry and trade,1071852
Mutes (Music),1031160
Musical instruments--Equipment and supplies,1030737
Cicadas,861269
Canned foods industry--Employees,845777
Religious films,1094076
Photonuclear reactions,1062083
Helminthoglyptidae,954803
Diprionidae,894469
Zines,1896158
Nicaraguan drama,1037395
Nicaraguan literature,1037399
Interviewing in occupational therapy--Technique,977633
Mountaineers,1028364
Komi poetry,988402
"Vitamins, Fat-soluble",1168250
Engineering--Data processing,910334
Aeronautics--Law and legislation,798354
Aeronautics and state,798411
Web sites--Design,1173252
Thesium,1149952
Yiddish periodicals,1182834
"Decoration and ornament--Themes, motives",889208
Textile chemistry,1148599
Riemann surfaces,1097801
Dzongkha fiction,900388
Spleen,1130263
Lead--Toxicology,994588
Plagopterus,1065044
Cladodoides,1740660
"Railroads, Cable",1089359
Nonlinear optics,1038797
Redhorses,1092268
Honor guards,960013
Arithmetical algebraic geometry,814526
Alkenes,805415
Bole-Tangale languages,835673
Tamanac Indians,1142374
Hametz,950764
Gloster aircraft,943646
Elema (Papua New Guinean people),1430311
Trade associations,1153802
Corn,878993
Zea,1184138
Serpentine,1113344
Clothing factories--Equipment and supplies,864741
Manx literature (English),1748183
Gilding,942703
African Americans in medicine,799732
Pitchers (Baseball),1064892
Binocular vision,831902
Eye--Movements,919174
"Painting, Abstract",1050640
Precipitation gauges,1074955
Stamp duties,1131431
Cooking (Nuts),1753158
Regicide,1895189
Kings and rulers--Death and burial,987702
Land-Rover trucks,991675
Portland cement,1072092
Pozzuolanas,1074501
Ultrastructure (Biology),1160738
Women and literature,1177093
Giant salamanders,1430444
Street-railroads,1134731
"Art pottery, British",815776
Toxicologists,1153362
Biochemists,831989
Momentum transfer,1025018
Fire engines,925305
Play,1066938
Tensor tympani muscle,1147729
Ear--Muscles,900560
Kumyk literature,989339
"Baptists--Societies, etc.",827338
Baptists--Government,827311
Prosthetists,1079530
Maori (New Zealand people)--Education (Elementary),1008581
Monochamus,1025541
Shipbuilding industry--Employees,1116277
Drug delivery systems,898667
Cations,849357
"Shrews, Fossil",1117779
Eiseleia,904090
Measles--Complications,1013166
Guanosine triphosphatase,948750
Plants--Effect of sulfates on,1720038
Ferrous sulfate--Physiological effect,1721193
Automobiles--Power trains,823780
Automobiles--Axles,823264
Latin American fiction,993026
Knights and knighthood,988113
"Armored vehicles, Military",814878
Peregrine falcon,1057768
Catholic artists,849144
Wireless power transmission,1896567
Electric power transmission,905596
Treaties,1155866
Legal instruments,995488
Genre painting,940236
Board gamers,1736825
Oriolus,1048198
Roads--Finance,1098618
Taxation of personal property,1144010
Squash players,1131096
Proverbs,1080207
Anthropological museums and collections,810181
Civil defense readiness,1744844
Emergency drills,1741988
Durio,899580
Cooking (Berries),1753034
Hyracodontidae,966117
Vesiculariidae,1165659
Ciconia,861294
Scophthalmidae,1109071
Phlebitis,1061162
Veins--Diseases,1165049
Animal marking,809293
Competition (Psychology),871488
Labyrinth (Ear),990454
Bigamy,831634
Meningitis in children,1016146
DECsystem-10 (Computer)--Programming,886530
Mullus,1028796
Agricultural chemicals industry,800555
Farm supply industries,921257
Metrioptera,1018835
Plants--Effect of petroleum on,1065969
Petroleum--Physiological effect,1059310
Least squares,995082
Kru languages,989181
Indians of North America--Finance,969740
Steel--Heat treatment,1132508
Islam--Research,979843
Petaurus,1059196
Tokens,1152195
Carpets,847868
"Art, Bactrian",815986
"Art, Ancient",815925
Regional educational laboratories,1093102
Error analysis (Mathematics),915028
Monoamine oxidase--Inhibitors,1025524
Anus--Diseases,810941
Berkshire Type (Steam locomotives),1727302
Musical criticism,1030706
Chlorites,858137
Harpsichordists,951713
Vetch,1165702
Two-way streets,1748703
Nacellidae,1032131
Carbon nitride,2020557
Long distance telephone service,1002236
Freedmen,933987
Kashmiri poetry,986423
Woolen goods,1180079
Dadaist literature,886704
Interpolation,977456
Honky-tonk music,959997
Bread dough craft,838214
Map turtles,1008696
Lemurs,996131
Youth with mental disabilities--Education,1183658
Towing,1153292
Endocladiaceae,909719
Trouvère songs,1157583
"Songs, Old French",1126469
Electromagnetic fields,906523
Shoulder--Diseases,1117700
Chromodorididae,860042
Nudibranchia,1041144
Natural disaster warning systems,1033990
Microwave amplifiers,1020162
Parametric devices,1052994
Culture jamming,1941174
Scheuchzeriaceae,1106674
Academic libraries--Reserve collections,795065
Foot--Care and hygiene,931286
Podiatry,1067635
Beryl,830824
Garter snakes,938093
Parnassius,1053818
Levirate,996990
Integrated circuits--Design and construction,975545
Lisu poetry,999849
Gorilla,944991
Communication devices for people with disabilities,870088
Turbidity,1159096
Young women,1183301
Sennenhunde,1112530
Acanthoscelides,795182
Airtankers (Military science),803877
Latin American prose literature,993056
Soil animals,1124260
Soil biology,1124265
Hyalopterus,964480
"Dynamics, Rigid",900310
Electric relays,905866
"Aeronautics, Commercial--Freight",798486
Animals--Transportation,809553
Panjabis (South Asian people),1052176
Diaguita Indians,892396
"Law, Kuria",994240
Invective,977987
Aggressiveness,800263
Art museums--Collection management,815634
Owls,1049507
"Canopies, Architectural",846068
Corporations--Valuation,879963
Defensive (Military science),889691
Sturgeon fishing,1136267
Supersonic fighter planes,1138995
"Airplanes, Tailless",803672
Teachers--Certification,1144259
Chalinolobus,851873
Vespertilionidae,1165675
Peripatidae,1982822
Leucocytes,996872
Elastic rods and wires,904198
Gender expression,1782862
"Ordnance, Naval",1047459
Hoary bat,958509
Hairy-tailed bats,950447
Recurrent sequences (Mathematics),1091981
Nichiren (Sect),1037418
Yiddish wit and humor,1182844
Parietal lobes,1053554
Electronic trading of securities,907498
Securities--Data processing,1110754
Pottery--Equipment and supplies,1073590
Spirit possession,1130054
Experience (Religion),918383
Anacardium,808213
Plague,1065045
Yersinia infections,1182746
Radiation sources,1086963
Kenyan fiction (English),986820
Nitrogen oxychlorides,1038121
Analytical biochemistry,808343
Melissa (Plants),1015751
Device drivers (Computer programs),891969
Ranger stations,1089902
Women editors,1177602
Francolins,933719
Eschscholzia,915181
Age and intelligence,800147
Scottish Americans--Rites and ceremonies,1109179
Chorthippus,858647
"Sale of organs, tissues, etc.",1103784
Hair,950358
Sewage--Purification--Metals removal,1113823
"Terra-cotta sculpture, Central American",1739718
Chrysomphalus,1893246
Sexual minorities with disabilities,1744077
Oil burners,1044546
Petroleum as fuel,1059421
Geriatric ophthalmology,941242
Anabaptists,808176
Forms (Law),932971
Vallabhachars--Doctrines,1163823
Households,962162
Nepticula,1036013
Nepticulidae,1036015
Airports--Fees,803770
Naval gunnery,1034999
Environmental policy,913250
Precipitation hardening,1074956
Hardness,951374
Strengthening mechanisms in solids,1134850
Metals--Hardenability,1018135
Cooking (Reptile meat),1763105
Pressure gages,1075947
Acquaintance rape victims,795958
Rape victims,1090022
Building trades--Employees,840867
X-rays--Equipment and supplies,1181866
Sembla language,1112099
Mass media--Audiences,1011223
Mass media--Social aspects,1011303
Inland navigation,973596
Hydrography,965102
Viscous flow,1167826
Slide-rule,1120894
Chinchillidae,857165
Passover,1054454
Hypertragulidae,965885
Road drainage,1098420
Nothofagus,1039606
Shipyards,1116652
Material culture,1011739
Computer algorithms,872010
Hand puppets,950880
Environmental psychology,913431
Altingia,806207
Brain--Puncture,837654
Conodonts,875373
Daredevils,887821
Recreational aviation,1764352
Saab aircraft,1102920
Chinese wit and humor,857743
Silica--Toxicology,1118596
Mathematical statistics--Data processing,1012133
Statistics--Data processing,1132113
Tuberculosis--Vaccination,1158553
Koalib language,1741143
Machine-shop practice,1004862
Patternmaking,1055277
Grain--Diseases and pests,945903
Barberries--Diseases and pests,827441
Folklore--Classification,930312
Fantails (Birds),1940484
Isotope separators,980230
Jewish courts,1730490
Duricrusts,899579
Aerodynamic measurements,798186
Hyracoidea,966118
"Part songs, Latin",1053963
Lobaria (Lichens),1919400
Rosmarinus,1100569
War (Philosophy),1170420
Livestock breeders,1000875
Phlebobranchia,1061163
Mya,1031269
Myidae,1031411
Blasphemy,834146
Suzuki motorcycle,1139809
PDP-11 (Computer)--Programming,1049831
Catechu,848993
Ossetes,1048730
Fagopyrum,919823
Hops--Diseases and pests,960171
Phorodon,1894953
Revelation--Society of Friends,1765730
Grimmiaceae,947947
Marital violence,1430721
Intimate partner violence,1747311
Family violence,920540
Otus,1049057
Bashkir fiction,828087
Conservatives,1200823
Selenastraceae,1111392
Chlorococcales,858154
Tylosurus,1159931
Needlefishes,1035428
Morris automobile,1026479
Pets--Housing,1059927
Biological child psychiatry,832200
Motor vehicles--Equipment and supplies,1027787
Hose,960845
Depth perception,890993
Reptiles--Physiology,1095047
Daucus,888133
Cryptonemiales,884570
Cohomology operations,866607
Moronidae,1026417
Utopian socialism,1163356
Natural gas--Geology,1034075
Wormhole routing,1743875
School closings,1107266
Death--Religious aspects,888649
Rheumatism,1097001
Osteochondrosis,1048779
Corsican literature,880390
Pharmaceutical policy,1060194
Aminoacyl-tRNA synthetases,807653
Pastoral care,1054524
People with disabilities--Rehabilitation,1057318
Blue-ringed octopuses,834991
"Christian education, Outdoor",859101
Outdoor education,1049119
Beanbag toys,829207
Rynchops,1102649
Criticism (Philosophy),883756
Peruvian prose literature,1058948
Infectious anemia,972341
Revolutionaries,1096578
Angolan literature,809011
Acid-base imbalances,795812
Montagnais Indians,1025768
Thripidae,1150380
Cognition disorders,866486
Hydrogen--Isotopes,964997
Food consumption,930721
Cost and standard of living,880673
Body composition--Measurement--Technique,1940974
Ramacrinella,1089662
Ciliary body,861421
Protein precursors,1079701
Bombings,835818
Political violence,1069902
Snowmobiles,1122016
Leptosomatidae,996421
Enoplida,912547
German language--Dialects,941456
Assaying,818995
Artists' spouses,817696
Senecio,1112469
Bookcases,836313
Mucous membrane--Diseases,1028633
Elastic scattering,904199
Sieges,1118188
Military history,1021222
Omniscience (Theory of knowledge),1045694
Women murderers,1178169
Political geography,1069357
Komi language,988385
Recursion theory,1091982
Hospital patients--Classification,961009
Liver cells--Inclusions,1000702
Social reformers,1122841
Fasts and feasts--Greek religion,921751
Stegodon,1132918
"Elephants, Fossil",908027
Structural linguistics,1135702
Syma,2020030
Logos (Symbols),1002130
Morpho,1026445
"Children's stories, English",856704
Dispersion,895305
Optical publishing,1046792
Landing craft,991704
Personal belongings,1058568
Remiz,1094444
Spanish American drama,1128180
Heart--Diseases--Patients,953551
Educators,903702
Immunization of children,967905
Pediatrics--Immunological aspects,1056509
Communicable diseases in children--Prevention,869938
Callipepla,844471
Wisdom--Religious aspects--Buddhism,1176247
Cryptopidae,884576
"Gearing, Reduction",939439
Pahari painting,1050363
"Miniature painting, Indic",1022749
Atmospheric pressure--Physiological effect,820495
Yoga,1182871
Microwave lenses,1020232
Lens antennas,996174
Electron optics,906693
Older people--Surgery,1199132
"Soldiers' bodies, Disposition of",1125338
Mutillidae,1031166
Prunus,1080721
Dioceses (Canon law),894036
Bishops (Canon law),833395
Railroads--Snow protection and removal--Equipment and supplies,1765838
Scrap metals,1109287
Public hospitals,1082431
Motor vehicles--Lubrication,1027823
Polymethylmethacrylate,1070666
Methyl methacrylate,1018759
Precipitation normals,1074957
Climatic normals,864278
Inn signs,973701
"Coins, Ancient",866687
Lampshades,991194
Aztec law,824707
Central American fiction,850671
Thiazoles,1149978
Street-railroads--Accounting,1134733
English literature--Middle English,1710961
Students' songs,1136161
Kibbutzim,987277
Larrea,992714
Swordplay,1140670
Sandpuffs,1201687
Moniliales,1025450
Monologues with music (Orchestra),1025619
Myrtle beech--Diseases and pests,1031571
Peace officers,1055886
Electronic information resource searching,907293
"Searching, Bibliographical",1110388
Puffinus,1083753
Manchus,1007396
Phraseology,1062203
Language and languages--Style,992266
Absenteeism (Labor),794708
"Vacations, Employee",1163537
Leave of absence,995179
Rhetoric and psychology,1096980
Mood (Psychology),1025926
"Aesthetics, Indic",798781
Ephebia,913665
Archons,814120
Nasioi language,1033101
Automobiles--Disc brakes,823403
Audio amplifiers,821023
Guitar--Electronic equipment,949147
"Hospitals--Furniture, equipment, etc.",961348
Intelligence officers,975843
Telephone booths,1146353
Police patrol--Equipment and supplies,1767927
Catholic authors,849146
Saab automobile,1102921
Irish fiction,978981
Monocotyledons--Cytology,1025560
Phytoliths,1063261
"Executives--Salaries, etc.",917925
Severance pay,1113715
Corn--Diseases and pests,879043
Sea snakes,1110117
Noddingcaps,1940563
Dönmeh,900419
Sabbathaians,1102959
Contracts (Jewish law),877009
Prophaethontiformes,1079192
Patriarchs (Mormon theology),1055075
Male athletes,1749325
Cross-country runners,1764897
High pressure biology,956057
High pressure chemistry,956059
Ojibwa art,1045108
Cooking (Beets),1753033
Asset allocation,819049
"Hyracoidea, Fossil",966119
Salmonella infections in poultry,1431288
Bacterial diseases in poultry,825212
Flower gardening,927841
Transition metal oxides,1154779
Metarhizium,1018321
Sand flies,1104865
Casuariiformes,848485
Katarimono,986466
Internal combustion engine industry,976505
Space vehicles--Design and construction,1127992
Shīʻah,1117946
New Age movement,1036696
Gay men--Religion,939147
Bengali periodicals,830451
Suricata,1139483
Hospital records,961056
Algae--Ecology,804848
Bugis literature,840514
Wood waste,1179440
Rhytididae,1097294
Armenian periodicals,814749
Cell metabolism,850203
Selenastrum,1111393
Shellfish as carriers of disease,1115684
Invertebrates as carriers of disease,978143
Medlpa (Papua New Guinean people),1430749
"Buddhist literature, Tibetan",840217
Tineola,1151350
Cephalopyge,850900
Phylliroidae,1062275
Mechanical organs,1013428
Somatotropin,1125752
Hypolipemia,966029
Hawaiian gods,1199297
Coherence (Optics),866580
Long distance telephone service--Corrupt practices,1002238
Language arts--Correlation with content subjects,992291
Pediatric neuropsychology,1056447
Stream chemistry,1743360
Team handball players,1144667
State governments--Officials and employees,1131842
Daughters,888134
Saxifraga,1106160
Glomerella,943596
Diaporthaceae,892649
Airport zoning,803722
Noise--Physiological effect,1038367
Library schools,997907
Anthornis,810126
Indicators and test-papers,970197
"Territory, National",1148094
Protectorates,1079666
Jaina ethics,981169
Hindu ethics,957035
Psychopharmacology,1081659
Invertebrates--Ecology,978121
Animal communities,809129
Gas laws (Physical chemistry),938363
Sputtering (Physics),1131025
Geographical perception,940459
Motorcycle racing,1028038
Nineteen hundreds (Decade),1037802
Ctenuchidae,884743
Mounts (Decorative arts),1028398
Mil helicopters,1894587
Art glass,815548
Bacterial antigens,825182
Color in gardening,868576
Alkanes,805409
Philippine prose literature,1736296
"Pottery, Spanish",1073881
Piezoelectric ceramics,1063920
Piezoelectricity,1063933
Negative resistance devices,1035496
"Gases, Asphyxiating and poisonous--War use",938675
Papio,1052730
Needlework industry and trade,1035454
Taxodium,1144070
Diomedea,894071
Social science students,1122871
Ciliary body--Diseases,861422
Questionnaires--Data processing,1085694
Leptospermum,996422
Hesperia,955700
Warnings,1170830
Prophecies,1079193
Agricultural administration,800450
Chalk,851875
Christian teachers,859546
Lubrication systems,1003356
Endourology,909847
Keres language,986875
Egyptian wit and humor,903987
Declarative programming languages,1743783
Oral mucosa--Diseases,1047094
Schizophrenics,1106789
God (Judaism),944157
Law firms,993996
Public use,1083127
Eminent domain,908749
Veterinary protozoology,1166067
PL/I (Computer program language),1049859
Actors with disabilities,796325
Thespesia,1149955
Yugoslav wit and humor,1183836
Tupi language,1159050
Readers (Primary),1090606
Nitric-oxide synthase--Inhibitors,1766319
Thiols,1150084
Enzyme activation,913595
Enzymes--Regulation,913621
Rotational motion (Rigid dynamics),1100629
PDP-8 (Computer)--Programming,1049834
Note pads,1039589
Zalophus,1740513
Pacific Island literature,1049960
Peroderma,1058284
Pennellidae,1056995
Blind--Printing and writing systems,834334
Music teachers,1030603
Electronic controllers,906934
Attention-deficit-disordered youth,820845
Analytic spaces,808342
Benzamide,830559
Otolaryngology,1048946
Lampreys--Larvae,991162
African Americans in radio broadcasting,799735
Uruguayan prose literature,1163083
Assa (Amphibians),1745815
Beaches,829107
Consumer affairs departments,876235
Consumer protection,876358
Pesticides--Application,1059013
Airports--Finance,803772
Winds--Measurement,1175829
Taverns (Inns),1143596
Hausa drama,951947
Tires,1151458
Rubber goods,1100911
Ecotones,902316
Crayon drawing,882330
Plastering,1066425
Fire resistant plastics,925526
Plasticizers,1066537
Odobenidae,1043880
Quinoxalines,1201955
Antiprotozoal agents,1742050
Cooperative ministry,878179
English literature--Old English,1710962
Candonidae,1742757
Anions,809642
Eddies,902404
Bacteria--Morphology,825163
Dematium,890046
Mothers and sons,1027007
Mother and child,1026878
Sons,1126696
Video tape recorders,1166531
Trichorhina,1156611
Exceptional teenagers,1745840
Social desirability,1122426
Dead,888385
Eisenia,904093
Lumbricidae,1003644
Dance therapy,887574
Movement therapy,1028519
Innu Indians,1921151
Emtricitabine,2021108
Reverse transcriptase inhibitors,2021163
Trail riding,1154390
"Photography, Close-up",1061982
Legumes--Diseases and pests,995934
Saline water barriers,1103943
Guatemalan literature,948861
Bank loans,826704
Consciousness--Religious aspects--Buddhism,875447
Women entertainers,1177638
Sea poetry,1110086
Jewish demonology,1730492
"Demonology, Semitic",890217
Isotopes,980232
Nuclides,1041125
Political consultants,1069231
Coffeehouses,866407
Children of alcoholics,855292
Predation (Biology),1074989
Analog integrated circuits,1920902
"Metal oxide semiconductors, Complementary",1017635
Malt,1006831
Ale,804689
College athletes,867688
Fiat automobiles,923564
Delivery of goods,889965
Parachutes,1052792
Mydriatics,1031380
Anesthesia adjuvants,808659
Belladonna (Drug),830172
Antiemetics,810501
Plant cellular control mechanisms,1065326
Hokan-Coahuiltecan languages,958668
Meetings,1015496
Multiprogramming (Electronic computers),1029079
Explorers,918556
Faidherbia,919825
Harassment,951200
Book industries and trade,836171
Mahri language,1006014
Diethylamine,893368
Dye industry,900216
Algae culture,804869
Seafood,1110222
Sea birds--Mortality--Prevention--Equipment and supplies,1767160
Estonian prose literature,1893659
Small art works,1121216
Grain--Machinery,945944
Tymolidae,1159933
Analytic sheaves,808340
Nacobbidae,1032133
Apma fiction,1741934
Cigarette smokers,861372
Guyanese fiction,949544
Thylacomyidae,1765241
Latin drama,993101
Adelges,796538
Densitometry,890357
Crops,883965
Tylobolus,1749081
Aerobic exercises,798165
Youth with social disabilities--Education,1183667
Rhyacionia,1097229
Rhodospirillales,1097198
Sexual abstinence,1114774
Probabilities--Famous problems,1766526
Optimal stopping (Mathematical statistics),1046874
Drug abuse--Prevention,898521
Local transit--Rates,1001626
Magnetohydrodynamic generators,1005862
Electric power production--Magnetohydrodynamic generation,905495
Enteropneusta,912621
Hemichordata,954961
Airframes,802910
Packing (Mechanical engineering),1050235
Pastoral counseling,1054526
Pastoral psychology,1054678
Counseling--Religious aspects,881233
Freedom of the seas,934073
Gas distribution,938226
Motion pictures and music,1027416
Megaphones,1199487
Small sculpture,1121478
Science--Data processing,1108207
Urban warfare,1162690
Dodge vans,896174
Continuum of care,876791
Information storage and retrieval systems--Environmental policy,972869
Stuffed animals (Toys),1136227
Information literacy,972560
Polish prose literature,1069151
Revolvers,1096775
Radioactive pollution of water,1087720
Rice workers,1097526
Women agricultural laborers,1177050
Caenestheria,843837
Eryonidae,915056
Fossils,933164
Georgian periodicals,1736877
Red giants,1092136
Giant stars,942496
Cupaniopsis,885222
Geologists' spouses,1736297
Dimorphism (Animals),893888
Sex differences,1114321
Sound poetry,1127011
Plays on words,1721357
Brain--Ventricles--Surgery,837691
Chironomidae,857904
Drawing instruments,897770
Social science teachers,1122872
Parasympathetic nervous system,1053204
Vegetable oil presses,1164752
Prokaryotes,1078852
Machinery--Safety appliances,1005010
Blueberries,834998
Vaccinium,1163598
Rolls-Royce automobile,1099735
Methamphetamine,1018559
Tendai (Sect)--Clergy,1752455
Clay industries,863845
Medical personnel--Malpractice,1014440
Medical errors,1014077
Predetermined motion time systems,1075017
Surveyors,1139621
Religious communities,1093964
Frozen blood,935428
Reading--Remedial teaching,1090669
Organized crime,1047884
Eicosanoids,904016
Turbochargers,1159144
God (Judaism)--Attributes,944158
Radio operators,1087419
Recursive functions,1091984
Physicians' assistants--Examinations,1765744
Reeds (Music),1092347
Wrapping cloths,1181525
Gift wrapping,942558
Hiatellidae,955900
"Inscriptions, Latin",973901
Mathematical notation,1012093
Amateur television stations,806686
Arabic language--Versification,812458
Codeine,866211
Brazilian fiction (English),838110
Spider crabs,1129735
Cold--Physiological effect,866959
Optical pumping,1046794
Atmospheric radiation,820499
Greenhouses,947749
Vertebrate surveys,1736603
Mammalogy--Methodology,1006946
Singaporean fiction (Chinese),1432191
Galaxias,937116
Art and literature,815400
Humanism in art,963527
Osborne computer--Programming,1048648
Accounting--Data processing,795400
Bird attracting--Equipment and supplies,832907
Yugoslav literature,1183818
Agricultural extension workers,800806
Accipiter,795293
Space medicine,1127762
Space biology,1127653
Monovalent cations,1025732
Bhili language,831141
Mixing circuits,1024119
Ecclesiastical geography,901288
Religion and geography,1093830
Perfluorinated chemicals,1941534
Jaina literature,981177
Coconut industry,866173
Microtus,1020142
Hindu cosmology,957027
Embryos--Physiology,1903109
Home and school,959097
Wind controller (Musical instrument),1175581
MIDI controllers,1004540
Pipeline failures,1064623
Beryciformes,830822
Turnovers (Cooking),1754954
