Label_Value,Code
Tactics,1141865
Oenothera,1043962
Lithium,1000216
Pulse,1083921
Heart--Diseases--Diagnosis,953532
Blood--Circulation,834555
Physical diagnosis,1062373
Vital signs,1168134
Heart,953493
Petroleum--Refining,1059331
Cell phone systems,1734555
Digital communications,893634
Earthmoving machinery,900805
Construction equipment,875912
Old roses,1045392
Roses,1100524
Helminthiasis,954790
Mutagenicity testing,1031140
Chronic toxicity testing,860143
Sheep dogs,1115543
Dog breeds,896187
Stab wounds,1131200
Electronics in navigation,907617
Radio in navigation,1087367
Aeronautical radio stations,798289
Hinduism--Rituals,957154
Alasmidonta,804093
Periscelididae,1058181
Weevers,1173419
Ice,966505
Physical geography,1062647
Frost,935399
Water,1171139
Particles (Nuclear physics),1054130
Kurdish drama,1736789
Kurdish literature,989397
Spouses of clergy,1130850
Knives,988155
Allium,805648
Trichomonadidae,1156593
Algonquian languages,805005
Tall people,1142337
Epidermis,914116
Jewelry making,982575
Ethnology,916106
Automobile driving at night,822936
Automobiles--Lighting,823538
Glare,943021
"Creation (Literary, artistic, etc.)",882393
Nasal mucosa,1033084
Mucous membrane,1028631
Nose,1039494
Terremare,1148060
"Antiquities, Prehistoric",810762
Archaeology,812938
Elaps,904177
Antiaircraft missiles,810390
Argentine poetry,814289
Developmentally disabled--Housing,891865
Halfway houses,950559
Foster home care,933198
Women microbiologists,1178147
Microbiologists,1019574
Women biologists,1177358
Bayesian field theory,829018
Quantum theory,1085128
Rabbinical literature,1086288
RNA,1086244
Arabic wit and humor,812556
Italian drama,980456
Gay men,939117
Arts,817721
"Chess--Societies, etc.",853796
Poets as teachers,1067785
Teachers,1144248
"Law, Frankish",994199
Heterocyclic compounds,955736
Antiviral agents,810869
Electronic surveillance,907477
Remote sensing,1094469
Fireworks,1198494
Spireas,1130033
Rosaceae,1100463
"Decoration and ornament, Architectural",889225
Religion,1093763
Vietnamese poetry,1166880
Thin films,1150018
Electronic circuits,906874
Integrated circuits,975535
Microelectronics,1019757
Geococcyx,940359
Cuckoos,884879
Monascaceae,1025067
Eurotiales,916847
Secrecy,1110644
Private schools,1077564
Commercial products,869578
Sopwith airplanes,1126731
Bombers,835788
Cucujidae,884882
Chlorine--Physiological effect,858110
Railroads and state,1089339
Transportation and state,1155244
Government ownership,945446
Railroads--Management,1089045
Social service--Research,1123270
Social justice,1122603
Carcharodon,846972
Single-parent families,1119481
Fighter planes,923996
Curtiss-Wright aircraft,885433
Shorthand--Gabelsberger,1117514
Ukrainian fiction,1160443
Stews,1133333
Suidae,1137624
Pachyderms,1721343
Artiodactyla,817516
Industrial accidents,970769
Accidents,795270
Disasters,894782
Zoonoses,1184758
Communicable diseases,869883
Defense mechanisms (Psychology),889683
Mental health laws,1016447
Permic languages,1058261
Uralic languages,1162191
Medicine--Language,1014991
Divers (Birds),895697
Birds,832970
"Mythology, Greek",1031804
Centaurs,850627
Finnish literature,925063
Ornamental shrubs,1048300
Ornamental woody plants,1048320
Shrubs,1117866
Udmurt literature,1160318
Metal ions,1017603
Placenta,1064993
Chorion,858621
Mordvin language,1026136
Thalamus--Diseases,1149115
Electric driving,904701
Gearing--Manufacture,939417
Gear-cutting machines,939397
Electronic data processing--Distributed processing,906987
Obstetrics--Apparatus and instruments,1042995
Medical instruments and apparatus,1014194
Entertainers,912655
Neutralization (Chemistry),1036596
Intellectual disability,1016625
Syndromes,1141135
Human chromosome abnormalities,962907
Stone-carrying vessels,1133912
Austrian poetry,821564
Atmospheric physics,820473
Atmospheric science,2003481
Pontiac automobile,1070992
Cataloging--Data processing,848666
Actaea,1982746
Cork,878973
Bark,827573
Non-timber forest products,1038570
Counselors,881283
Personals,1058777
"Advertising, Classified",797912
Antifungal agents,810512
Anti-infective agents,810345
Fungicides,936358
Roman law,1099759
Bentley automobile,830536
Automobiles,823232
Punk rock music,1084153
Phosphoproteins,1061428
Cell adhesion molecules,850166
Second messengers (Biochemistry),1110593
Records,1091659
Hydrogen--Spectra--Mathematics,965008
Legal assistants,995430
American poetry,807348
Community development,870818
Insurance,974532
Amaryllidaceae,806653
Ecuadorian drama,902357
Diesel locomotives,893178
Capital,846272
Bycatches (Fisheries),843205
Melanesians,1015668
Chromaticism (Music),859921
Performance practice (Music),1057874
Audi automobile,821002
Parking facilities,1053653
Emigration and immigration law,908736
Kalâtdlisut dialect,985883
Inuit language,977924
Tire fabrics,1151435
Textile fabrics,1148636
Damaliscus pygargus,1981881
Sassabies,887281
Tenda (African people),1147543
French-Canadian fiction,934868
Portfolio management,1072072
Investments,978234
Securities,1110743
Investment analysis,978180
Dactylopiidae,886689
Homoptera,959751
Scale insects,1106305
"Insects, Fossil",974199
Women athletes,1177178
Guitar,949140
Indonesian literature,970625
Cadmium compounds,843794
Metal sulfides,1715946
Advertising,797511
Spectrum analysis,1129108
Bristol buses,839033
Accretion (Astrophysics),795531
Allotment of land,805695
Gardens,937895
Pyrazoles,1084598
Weight loss preparations,1173471
Helobiae,954820
Messerschmitt airplanes,1017418
Transport planes,1154963
Materials--Erosion,1011830
Art patronage,815756
Art and industry,815398
Acupressure,796353
Tarot,1143418
Fortune-telling by cards,933079
Tenrec (Genus),1147709
Tenrecs,1147711
Sign language,1118246
Jiu-jitsu,983638
Physical education and training,1062401
Wrestling,1181580
Athletics,820127
Self-defense,1111577
"Hand-to-hand fighting, Oriental",950913
Procellaria,1078005
Dicotyledons,892852
Iron Cross,979141
Sleeping customs,1120869
Corn meal,879378
Porridge,1071958
Psychiatric rating scales,1081126
Hindu law,957061
Urdu poetry,1162838
Neonatology,1432070
Pediatric hematology,1056432
Social media,1741098
Communication,869952
Figures of speech,924108
Plateosauridae,1066783
Naval architecture,1034917
Wood,1179191
Pomacentridae,1070860
Binomial coefficients,831914
Binomial theorem,831916
Combinations,868959
Postage stamps,1072793
Calculus,844119
Rare bryophytes,1200106
Mosses,1026803
Airplanes--Registration and transfer,803448
Non-contentious jurisdiction,1038492
Recording and registration,1091641
Remote control,1094465
Electric controllers,904619
Engineering instruments,910572
Electric apparatus and appliances,904405
Antheraea,810100
"Silkworms, Non-mulberry",1118800
"Biology, Experimental",832511
Ecology,901476
Women in the motion picture industry,1178040
